Source,Target,Value
Africa,Muy Baja (<45) - 1950,1
Central Asia,Media (55-65) - 1950,1
East Asia,Baja (45-55) - 1950,1
Eastern Europe,Media (55-65) - 1950,1
Latin America & Caribbean,Media (55-65) - 1950,1
Middle East,Baja (45-55) - 1950,1
North America,Alta (65-75) - 1950,1
Oceania,Alta (65-75) - 1950,1
South Asia,Muy Baja (<45) - 1950,1
Southeast Asia,Muy Baja (<45) - 1950,1
Western Europe,Alta (65-75) - 1950,1
Muy Baja (<45) - 1950,Baja (45-55) - 1980,1
Media (55-65) - 1950,Media (55-65) - 1980,1
Baja (45-55) - 1950,Media (55-65) - 1980,1
Media (55-65) - 1950,Alta (65-75) - 1980,1
Media (55-65) - 1950,Media (55-65) - 1980,1
Baja (45-55) - 1950,Media (55-65) - 1980,1
Alta (65-75) - 1950,Alta (65-75) - 1980,1
Alta (65-75) - 1950,Alta (65-75) - 1980,1
Muy Baja (<45) - 1950,Baja (45-55) - 1980,1
Muy Baja (<45) - 1950,Media (55-65) - 1980,1
Alta (65-75) - 1950,Alta (65-75) - 1980,1
Baja (45-55) - 1980,Media (55-65) - 2000,1
Media (55-65) - 1980,Media (55-65) - 2000,1
Media (55-65) - 1980,Alta (65-75) - 2000,1
Alta (65-75) - 1980,Alta (65-75) - 2000,1
Media (55-65) - 1980,Alta (65-75) - 2000,1
Media (55-65) - 1980,Alta (65-75) - 2000,1
Alta (65-75) - 1980,Muy Alta (75+) - 2000,1
Alta (65-75) - 1980,Muy Alta (75+) - 2000,1
Baja (45-55) - 1980,Media (55-65) - 2000,1
Media (55-65) - 1980,Alta (65-75) - 2000,1
Alta (65-75) - 1980,Muy Alta (75+) - 2000,1
Media (55-65) - 2000,Alta (65-75) - 2023,1
Media (55-65) - 2000,Alta (65-75) - 2023,1
Alta (65-75) - 2000,Alta (65-75) - 2023,1
Alta (65-75) - 2000,Alta (65-75) - 2023,1
Alta (65-75) - 2000,Alta (65-75) - 2023,1
Alta (65-75) - 2000,Alta (65-75) - 2023,1
Muy Alta (75+) - 2000,Alta (75+) - 2023,1
Muy Alta (75+) - 2000,Muy Alta (75+) - 2023,1
Media (55-65) - 2000,Alta (65-75) - 2023,1
Alta (65-75) - 2000,Alta (65-75) - 2023,1
Muy Alta (75+) - 2000,Muy Alta (75+) - 2023,1
